"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","MSDIAL_AHexCAS","[M+NH4]+","1","2","RT_min","RT_max","Comment","RT at Max Intensity","MSDIAL_AHexCAS","[M+NH4]+","1","2","RT_min","RT_max","Comment","Number of Scans","MSDIAL_AHexCAS","[M+NH4]+","1","2","RT_min","RT_max","Comment","Max Intensity","MSDIAL_AHexCAS","[M+NH4]+","1","2","RT_min","RT_max","Comment","Average m/z","MSDIAL_AHexCAS","[M+NH4]+","1","2","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","MSDIAL_AHexCAS","[M+NH4]+","1","2","RT_min","RT_max","Comment"
"","MSDIAL_ST 28:1;O;Hex;FA 19:1;[M+NH4]+;CCCCCCCCC\C=C/CCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)CCC(C)C(C)C)C(O)C(O)C1O;SZGMYMAKPFDLAJ-MSUUIHNZNA-N;C53H92O7",0,0,0,"10.2360212121212","10.5360212121212","8349","","MSDIAL_ST 28:1;O;Hex;FA 19:1;[M+NH4]+;CCCCCCCCC\C=C/CCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)CCC(C)C(C)C)C(O)C(O)C1O;SZGMYMAKPFDLAJ-MSUUIHNZNA-N;C53H92O7",0,0,0,"10.2360212121212","10.5360212121212","8349","","MSDIAL_ST 28:1;O;Hex;FA 19:1;[M+NH4]+;CCCCCCCCC\C=C/CCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)CCC(C)C(C)C)C(O)C(O)C1O;SZGMYMAKPFDLAJ-MSUUIHNZNA-N;C53H92O7",0,0,0,"10.2360212121212","10.5360212121212","8349","","MSDIAL_ST 28:1;O;Hex;FA 19:1;[M+NH4]+;CCCCCCCCC\C=C/CCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)CCC(C)C(C)C)C(O)C(O)C1O;SZGMYMAKPFDLAJ-MSUUIHNZNA-N;C53H92O7",0,0,0,"10.2360212121212","10.5360212121212","8349","","MSDIAL_ST 28:1;O;Hex;FA 19:1;[M+NH4]+;CCCCCCCCC\C=C/CCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)CCC(C)C(C)C)C(O)C(O)C1O;SZGMYMAKPFDLAJ-MSUUIHNZNA-N;C53H92O7",0,0,0,"10.2360212121212","10.5360212121212","8349","","MSDIAL_ST 28:1;O;Hex;FA 19:1;[M+NH4]+;CCCCCCCCC\C=C/CCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)CCC(C)C(C)C)C(O)C(O)C1O;SZGMYMAKPFDLAJ-MSUUIHNZNA-N;C53H92O7","858.71813","383.3672","858.7181","10.2360212121212","10.5360212121212","8349"
"","MSDIAL_ST 28:1;O;Hex;FA 19:1;[M+NH4]+;CCCCCCCCC\C=C/CCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)CCC(C)C(C)C)C(O)C(O)C1O;SZGMYMAKPFDLAJ-MSUUIHNZNA-N;C53H92O7",0,0,0,"10.1947680555556","10.4947680555556","14847","","MSDIAL_ST 28:1;O;Hex;FA 19:1;[M+NH4]+;CCCCCCCCC\C=C/CCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)CCC(C)C(C)C)C(O)C(O)C1O;SZGMYMAKPFDLAJ-MSUUIHNZNA-N;C53H92O7",0,0,0,"10.1947680555556","10.4947680555556","14847","","MSDIAL_ST 28:1;O;Hex;FA 19:1;[M+NH4]+;CCCCCCCCC\C=C/CCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)CCC(C)C(C)C)C(O)C(O)C1O;SZGMYMAKPFDLAJ-MSUUIHNZNA-N;C53H92O7",0,0,0,"10.1947680555556","10.4947680555556","14847","","MSDIAL_ST 28:1;O;Hex;FA 19:1;[M+NH4]+;CCCCCCCCC\C=C/CCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)CCC(C)C(C)C)C(O)C(O)C1O;SZGMYMAKPFDLAJ-MSUUIHNZNA-N;C53H92O7",0,0,0,"10.1947680555556","10.4947680555556","14847","","MSDIAL_ST 28:1;O;Hex;FA 19:1;[M+NH4]+;CCCCCCCCC\C=C/CCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)CCC(C)C(C)C)C(O)C(O)C1O;SZGMYMAKPFDLAJ-MSUUIHNZNA-N;C53H92O7",0,0,0,"10.1947680555556","10.4947680555556","14847","","MSDIAL_ST 28:1;O;Hex;FA 19:1;[M+NH4]+;CCCCCCCCC\C=C/CCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)CCC(C)C(C)C)C(O)C(O)C1O;SZGMYMAKPFDLAJ-MSUUIHNZNA-N;C53H92O7","858.71813","383.3672","858.7181","10.1947680555556","10.4947680555556","14847"
"","MSDIAL_ST 28:1;O;Hex;FA 19:2;[M+NH4]+;CCCCCC\C=C/C\C=C/CCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)CCC(C)C(C)C)C(O)C(O)C1O;SPKNOJXERVTGPI-AUGURXLVNA-N;C53H90O7",0,0,0,"10.4318303030303","10.7318303030303","9836","","MSDIAL_ST 28:1;O;Hex;FA 19:2;[M+NH4]+;CCCCCC\C=C/C\C=C/CCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)CCC(C)C(C)C)C(O)C(O)C1O;SPKNOJXERVTGPI-AUGURXLVNA-N;C53H90O7",0,0,0,"10.4318303030303","10.7318303030303","9836","","MSDIAL_ST 28:1;O;Hex;FA 19:2;[M+NH4]+;CCCCCC\C=C/C\C=C/CCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)CCC(C)C(C)C)C(O)C(O)C1O;SPKNOJXERVTGPI-AUGURXLVNA-N;C53H90O7",0,0,0,"10.4318303030303","10.7318303030303","9836","","MSDIAL_ST 28:1;O;Hex;FA 19:2;[M+NH4]+;CCCCCC\C=C/C\C=C/CCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)CCC(C)C(C)C)C(O)C(O)C1O;SPKNOJXERVTGPI-AUGURXLVNA-N;C53H90O7",0,0,0,"10.4318303030303","10.7318303030303","9836","","MSDIAL_ST 28:1;O;Hex;FA 19:2;[M+NH4]+;CCCCCC\C=C/C\C=C/CCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)CCC(C)C(C)C)C(O)C(O)C1O;SPKNOJXERVTGPI-AUGURXLVNA-N;C53H90O7",0,0,0,"10.4318303030303","10.7318303030303","9836","","MSDIAL_ST 28:1;O;Hex;FA 19:2;[M+NH4]+;CCCCCC\C=C/C\C=C/CCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)CCC(C)C(C)C)C(O)C(O)C1O;SPKNOJXERVTGPI-AUGURXLVNA-N;C53H90O7","856.70248","383.3672","856.7025","10.4318303030303","10.7318303030303","9836"
"","MSDIAL_ST 28:1;O;Hex;FA 19:2;[M+NH4]+;CCCCCC\C=C/C\C=C/CCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)CCC(C)C(C)C)C(O)C(O)C1O;SPKNOJXERVTGPI-AUGURXLVNA-N;C53H90O7",0,0,0,"10.4407930555556","10.7407930555556","17317","","MSDIAL_ST 28:1;O;Hex;FA 19:2;[M+NH4]+;CCCCCC\C=C/C\C=C/CCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)CCC(C)C(C)C)C(O)C(O)C1O;SPKNOJXERVTGPI-AUGURXLVNA-N;C53H90O7",0,0,0,"10.4407930555556","10.7407930555556","17317","","MSDIAL_ST 28:1;O;Hex;FA 19:2;[M+NH4]+;CCCCCC\C=C/C\C=C/CCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)CCC(C)C(C)C)C(O)C(O)C1O;SPKNOJXERVTGPI-AUGURXLVNA-N;C53H90O7",0,0,0,"10.4407930555556","10.7407930555556","17317","","MSDIAL_ST 28:1;O;Hex;FA 19:2;[M+NH4]+;CCCCCC\C=C/C\C=C/CCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)CCC(C)C(C)C)C(O)C(O)C1O;SPKNOJXERVTGPI-AUGURXLVNA-N;C53H90O7",0,0,0,"10.4407930555556","10.7407930555556","17317","","MSDIAL_ST 28:1;O;Hex;FA 19:2;[M+NH4]+;CCCCCC\C=C/C\C=C/CCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)CCC(C)C(C)C)C(O)C(O)C1O;SPKNOJXERVTGPI-AUGURXLVNA-N;C53H90O7",0,0,0,"10.4407930555556","10.7407930555556","17317","","MSDIAL_ST 28:1;O;Hex;FA 19:2;[M+NH4]+;CCCCCC\C=C/C\C=C/CCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)CCC(C)C(C)C)C(O)C(O)C1O;SPKNOJXERVTGPI-AUGURXLVNA-N;C53H90O7","856.70248","383.3672","856.7025","10.4407930555556","10.7407930555556","17317"
"","MSDIAL_ST 28:1;O;Hex;FA 20:1;[M+NH4]+;CCCCCCCC\C=C/CCCCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)CCC(C)C(C)C)C(O)C(O)C1O;VJAYBQRRBUWOGN-NXVVXOECNA-N;C54H94O7",0,0,0,"12.0691569444444","12.3691569444444","7283","","MSDIAL_ST 28:1;O;Hex;FA 20:1;[M+NH4]+;CCCCCCCC\C=C/CCCCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)CCC(C)C(C)C)C(O)C(O)C1O;VJAYBQRRBUWOGN-NXVVXOECNA-N;C54H94O7",0,0,0,"12.0691569444444","12.3691569444444","7283","","MSDIAL_ST 28:1;O;Hex;FA 20:1;[M+NH4]+;CCCCCCCC\C=C/CCCCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)CCC(C)C(C)C)C(O)C(O)C1O;VJAYBQRRBUWOGN-NXVVXOECNA-N;C54H94O7",0,0,0,"12.0691569444444","12.3691569444444","7283","","MSDIAL_ST 28:1;O;Hex;FA 20:1;[M+NH4]+;CCCCCCCC\C=C/CCCCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)CCC(C)C(C)C)C(O)C(O)C1O;VJAYBQRRBUWOGN-NXVVXOECNA-N;C54H94O7",0,0,0,"12.0691569444444","12.3691569444444","7283","","MSDIAL_ST 28:1;O;Hex;FA 20:1;[M+NH4]+;CCCCCCCC\C=C/CCCCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)CCC(C)C(C)C)C(O)C(O)C1O;VJAYBQRRBUWOGN-NXVVXOECNA-N;C54H94O7",0,0,0,"12.0691569444444","12.3691569444444","7283","","MSDIAL_ST 28:1;O;Hex;FA 20:1;[M+NH4]+;CCCCCCCC\C=C/CCCCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)CCC(C)C(C)C)C(O)C(O)C1O;VJAYBQRRBUWOGN-NXVVXOECNA-N;C54H94O7","872.73378","383.3672","872.7338","12.0691569444444","12.3691569444444","7283"
"","MSDIAL_ST 28:1;O;Hex;FA 20:1;[M+NH4]+;CCCCCCCC\C=C/CCCCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)CCC(C)C(C)C)C(O)C(O)C1O;VJAYBQRRBUWOGN-NXVVXOECNA-N;C54H94O7",0,0,0,"12.0874944444444","12.3874944444444","15470","","MSDIAL_ST 28:1;O;Hex;FA 20:1;[M+NH4]+;CCCCCCCC\C=C/CCCCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)CCC(C)C(C)C)C(O)C(O)C1O;VJAYBQRRBUWOGN-NXVVXOECNA-N;C54H94O7",0,0,0,"12.0874944444444","12.3874944444444","15470","","MSDIAL_ST 28:1;O;Hex;FA 20:1;[M+NH4]+;CCCCCCCC\C=C/CCCCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)CCC(C)C(C)C)C(O)C(O)C1O;VJAYBQRRBUWOGN-NXVVXOECNA-N;C54H94O7",0,0,0,"12.0874944444444","12.3874944444444","15470","","MSDIAL_ST 28:1;O;Hex;FA 20:1;[M+NH4]+;CCCCCCCC\C=C/CCCCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)CCC(C)C(C)C)C(O)C(O)C1O;VJAYBQRRBUWOGN-NXVVXOECNA-N;C54H94O7",0,0,0,"12.0874944444444","12.3874944444444","15470","","MSDIAL_ST 28:1;O;Hex;FA 20:1;[M+NH4]+;CCCCCCCC\C=C/CCCCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)CCC(C)C(C)C)C(O)C(O)C1O;VJAYBQRRBUWOGN-NXVVXOECNA-N;C54H94O7",0,0,0,"12.0874944444444","12.3874944444444","15470","","MSDIAL_ST 28:1;O;Hex;FA 20:1;[M+NH4]+;CCCCCCCC\C=C/CCCCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)CCC(C)C(C)C)C(O)C(O)C1O;VJAYBQRRBUWOGN-NXVVXOECNA-N;C54H94O7","872.73378","383.3672","872.7338","12.0874944444444","12.3874944444444","15470"
"","MSDIAL_ST 28:1;O;Hex;FA 20:3;[M+NH4]+;CC\C=C/C\C=C/C\C=C/CCCCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)CCC(C)C(C)C)C(O)C(O)C1O;AGUZCNSIFQQZGQ-YOILPLPUNA-N;C54H90O7",0,0,0,"10.4943513888889","10.7943513888889","11140","","MSDIAL_ST 28:1;O;Hex;FA 20:3;[M+NH4]+;CC\C=C/C\C=C/C\C=C/CCCCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)CCC(C)C(C)C)C(O)C(O)C1O;AGUZCNSIFQQZGQ-YOILPLPUNA-N;C54H90O7",0,0,0,"10.4943513888889","10.7943513888889","11140","","MSDIAL_ST 28:1;O;Hex;FA 20:3;[M+NH4]+;CC\C=C/C\C=C/C\C=C/CCCCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)CCC(C)C(C)C)C(O)C(O)C1O;AGUZCNSIFQQZGQ-YOILPLPUNA-N;C54H90O7",0,0,0,"10.4943513888889","10.7943513888889","11140","","MSDIAL_ST 28:1;O;Hex;FA 20:3;[M+NH4]+;CC\C=C/C\C=C/C\C=C/CCCCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)CCC(C)C(C)C)C(O)C(O)C1O;AGUZCNSIFQQZGQ-YOILPLPUNA-N;C54H90O7",0,0,0,"10.4943513888889","10.7943513888889","11140","","MSDIAL_ST 28:1;O;Hex;FA 20:3;[M+NH4]+;CC\C=C/C\C=C/C\C=C/CCCCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)CCC(C)C(C)C)C(O)C(O)C1O;AGUZCNSIFQQZGQ-YOILPLPUNA-N;C54H90O7",0,0,0,"10.4943513888889","10.7943513888889","11140","","MSDIAL_ST 28:1;O;Hex;FA 20:3;[M+NH4]+;CC\C=C/C\C=C/C\C=C/CCCCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)CCC(C)C(C)C)C(O)C(O)C1O;AGUZCNSIFQQZGQ-YOILPLPUNA-N;C54H90O7","868.70248","383.3672","868.7025","10.4943513888889","10.7943513888889","11140"
"","MSDIAL_ST 28:1;O;Hex;FA 21:0;[M+NH4]+;CCCCCCCCCCCCCCCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)CCC(C)C(C)C)C(O)C(O)C1O;IRDJWBNBJLFBFN-UHFFFAOYNA-N;C55H98O7",0,0,0,"12.9528847222222","13.2528847222222","689","","MSDIAL_ST 28:1;O;Hex;FA 21:0;[M+NH4]+;CCCCCCCCCCCCCCCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)CCC(C)C(C)C)C(O)C(O)C1O;IRDJWBNBJLFBFN-UHFFFAOYNA-N;C55H98O7",0,0,0,"12.9528847222222","13.2528847222222","689","","MSDIAL_ST 28:1;O;Hex;FA 21:0;[M+NH4]+;CCCCCCCCCCCCCCCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)CCC(C)C(C)C)C(O)C(O)C1O;IRDJWBNBJLFBFN-UHFFFAOYNA-N;C55H98O7",0,0,0,"12.9528847222222","13.2528847222222","689","","MSDIAL_ST 28:1;O;Hex;FA 21:0;[M+NH4]+;CCCCCCCCCCCCCCCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)CCC(C)C(C)C)C(O)C(O)C1O;IRDJWBNBJLFBFN-UHFFFAOYNA-N;C55H98O7",0,0,0,"12.9528847222222","13.2528847222222","689","","MSDIAL_ST 28:1;O;Hex;FA 21:0;[M+NH4]+;CCCCCCCCCCCCCCCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)CCC(C)C(C)C)C(O)C(O)C1O;IRDJWBNBJLFBFN-UHFFFAOYNA-N;C55H98O7",0,0,0,"12.9528847222222","13.2528847222222","689","","MSDIAL_ST 28:1;O;Hex;FA 21:0;[M+NH4]+;CCCCCCCCCCCCCCCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)CCC(C)C(C)C)C(O)C(O)C1O;IRDJWBNBJLFBFN-UHFFFAOYNA-N;C55H98O7","888.76508","383.3672","888.7651","12.9528847222222","13.2528847222222","689"
"","MSDIAL_ST 28:1;O;Hex;FA 21:0;[M+NH4]+;CCCCCCCCCCCCCCCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)CCC(C)C(C)C)C(O)C(O)C1O;IRDJWBNBJLFBFN-UHFFFAOYNA-N;C55H98O7",0,0,0,"11.4463486111111","11.7463486111111","1345","","MSDIAL_ST 28:1;O;Hex;FA 21:0;[M+NH4]+;CCCCCCCCCCCCCCCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)CCC(C)C(C)C)C(O)C(O)C1O;IRDJWBNBJLFBFN-UHFFFAOYNA-N;C55H98O7",0,0,0,"11.4463486111111","11.7463486111111","1345","","MSDIAL_ST 28:1;O;Hex;FA 21:0;[M+NH4]+;CCCCCCCCCCCCCCCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)CCC(C)C(C)C)C(O)C(O)C1O;IRDJWBNBJLFBFN-UHFFFAOYNA-N;C55H98O7",0,0,0,"11.4463486111111","11.7463486111111","1345","","MSDIAL_ST 28:1;O;Hex;FA 21:0;[M+NH4]+;CCCCCCCCCCCCCCCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)CCC(C)C(C)C)C(O)C(O)C1O;IRDJWBNBJLFBFN-UHFFFAOYNA-N;C55H98O7",0,0,0,"11.4463486111111","11.7463486111111","1345","","MSDIAL_ST 28:1;O;Hex;FA 21:0;[M+NH4]+;CCCCCCCCCCCCCCCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)CCC(C)C(C)C)C(O)C(O)C1O;IRDJWBNBJLFBFN-UHFFFAOYNA-N;C55H98O7",0,0,0,"11.4463486111111","11.7463486111111","1345","","MSDIAL_ST 28:1;O;Hex;FA 21:0;[M+NH4]+;CCCCCCCCCCCCCCCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)CCC(C)C(C)C)C(O)C(O)C1O;IRDJWBNBJLFBFN-UHFFFAOYNA-N;C55H98O7","888.76508","383.3672","888.7651","11.4463486111111","11.7463486111111","1345"
"","MSDIAL_ST 28:1;O;Hex;FA 21:1;[M+NH4]+;CCCCCCCCC\C=C/CCCCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)CCC(C)C(C)C)C(O)C(O)C1O;AHMUFSDJNIXUNB-MSUUIHNZNA-N;C55H96O7",0,0,0,"12.3846930555556","12.6846930555556","818","","MSDIAL_ST 28:1;O;Hex;FA 21:1;[M+NH4]+;CCCCCCCCC\C=C/CCCCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)CCC(C)C(C)C)C(O)C(O)C1O;AHMUFSDJNIXUNB-MSUUIHNZNA-N;C55H96O7",0,0,0,"12.3846930555556","12.6846930555556","818","","MSDIAL_ST 28:1;O;Hex;FA 21:1;[M+NH4]+;CCCCCCCCC\C=C/CCCCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)CCC(C)C(C)C)C(O)C(O)C1O;AHMUFSDJNIXUNB-MSUUIHNZNA-N;C55H96O7",0,0,0,"12.3846930555556","12.6846930555556","818","","MSDIAL_ST 28:1;O;Hex;FA 21:1;[M+NH4]+;CCCCCCCCC\C=C/CCCCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)CCC(C)C(C)C)C(O)C(O)C1O;AHMUFSDJNIXUNB-MSUUIHNZNA-N;C55H96O7",0,0,0,"12.3846930555556","12.6846930555556","818","","MSDIAL_ST 28:1;O;Hex;FA 21:1;[M+NH4]+;CCCCCCCCC\C=C/CCCCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)CCC(C)C(C)C)C(O)C(O)C1O;AHMUFSDJNIXUNB-MSUUIHNZNA-N;C55H96O7",0,0,0,"12.3846930555556","12.6846930555556","818","","MSDIAL_ST 28:1;O;Hex;FA 21:1;[M+NH4]+;CCCCCCCCC\C=C/CCCCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)CCC(C)C(C)C)C(O)C(O)C1O;AHMUFSDJNIXUNB-MSUUIHNZNA-N;C55H96O7","886.74943","383.3672","886.7495","12.3846930555556","12.6846930555556","818"
"","MSDIAL_ST 28:1;O;Hex;FA 21:1;[M+NH4]+;CCCCCCCCC\C=C/CCCCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)CCC(C)C(C)C)C(O)C(O)C1O;AHMUFSDJNIXUNB-MSUUIHNZNA-N;C55H96O7",0,0,0,"11.0936611111111","11.3936611111111","3151","","MSDIAL_ST 28:1;O;Hex;FA 21:1;[M+NH4]+;CCCCCCCCC\C=C/CCCCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)CCC(C)C(C)C)C(O)C(O)C1O;AHMUFSDJNIXUNB-MSUUIHNZNA-N;C55H96O7",0,0,0,"11.0936611111111","11.3936611111111","3151","","MSDIAL_ST 28:1;O;Hex;FA 21:1;[M+NH4]+;CCCCCCCCC\C=C/CCCCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)CCC(C)C(C)C)C(O)C(O)C1O;AHMUFSDJNIXUNB-MSUUIHNZNA-N;C55H96O7",0,0,0,"11.0936611111111","11.3936611111111","3151","","MSDIAL_ST 28:1;O;Hex;FA 21:1;[M+NH4]+;CCCCCCCCC\C=C/CCCCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)CCC(C)C(C)C)C(O)C(O)C1O;AHMUFSDJNIXUNB-MSUUIHNZNA-N;C55H96O7",0,0,0,"11.0936611111111","11.3936611111111","3151","","MSDIAL_ST 28:1;O;Hex;FA 21:1;[M+NH4]+;CCCCCCCCC\C=C/CCCCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)CCC(C)C(C)C)C(O)C(O)C1O;AHMUFSDJNIXUNB-MSUUIHNZNA-N;C55H96O7",0,0,0,"11.0936611111111","11.3936611111111","3151","","MSDIAL_ST 28:1;O;Hex;FA 21:1;[M+NH4]+;CCCCCCCCC\C=C/CCCCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)CCC(C)C(C)C)C(O)C(O)C1O;AHMUFSDJNIXUNB-MSUUIHNZNA-N;C55H96O7","886.74943","383.3672","886.7495","11.0936611111111","11.3936611111111","3151"
